time1	time2	time3	time4	time5	time6
gene_1	14.5515321941899	7.15684982379351	41.4337182253472	64.1789733741878	80.8952835062856	127.10444104116
gene_2	7.06247951453207	15.1925328537064	33.8018799271692	55.4054003892313	86.1532775302128	110.738044483841
gene_3	-18.4186975176269	4.80625644392783	13.7994249457647	69.3077577661599	61.7454589026218	98.1035817888732
gene_4	13.8395248565056	14.3863149568245	42.029759443524	42.9303061983133	114.877584867958	95.9524314739563
gene_5	1.56236267212032	29.5959906509732	33.9387926420092	35.5627252749366	68.2076285916041	96.3259989674404
gene_6	-0.835752276348566	34.0483786984509	38.3740289824122	46.2553153324412	90.5020421077801	128.955650854695
gene_7	24.153311042937	34.5298280874382	27.1335718542234	68.5159048707441	81.6487039745192	102.216498971853
gene_8	0.47936123948805	18.4844825431738	48.4358729627172	51.9076841775123	51.5016492163369	125.012966447335
gene_9	17.9656316551446	18.0206254094886	27.26412727997	46.0983499783915	73.8649046080177	90.2659446201567
gene_10	3.4303060435811	22.7661573782406	48.2979106658593	42.1485868663223	73.8333499613099	116.82253214009
gene_11	-18.1581076843765	28.9547607006971	64.7171710542922	67.4043330384493	92.8113502075054	86.4937137989934
gene_12	8.64293761624722	34.1684215124426	23.9744798122673	71.2567379971146	60.4792088823273	104.243445185414
gene_13	-6.88825729257601	24.5235542682889	45.9466845140866	65.5690290277013	80.8661497594513	87.9042672427014
gene_14	20.7965298188039	27.214528621471	8.82171491712532	61.2515991000765	72.3039176481192	90.1358091410153
gene_15	16.4500108011336	-1.66404411593227	29.6068432617847	18.1041121641983	68.1786359283443	106.256113490258
gene_16	23.8457393295136	10.1687552966256	47.3347082344728	51.5396003441521	101.20522931717	126.968019208798
gene_17	7.43339086124466	3.49270361008949	27.6258094009067	71.7499351875076	76.6037017113736	123.446569219381
gene_18	17.4422755337293	1.6171745610942	38.9471688428875	80.1703202971239	91.5105854093815	85.926095150764
gene_19	5.51995322406644	13.6166173394215	12.9308819781335	64.3186637803174	104.2859816139	101.816016712049
gene_20	6.83575106024176	15.9686555655097	36.4503318028587	66.4258890223822	91.1635553631466	81.2015545733717
gene_21	6.09390504071407	19.5946515956793	39.7450676562582	52.6273989710341	74.0665360520389	111.873328197217
gene_22	8.41243925425941	-16.2912729603414	40.553766650004	46.8876436635286	94.2161025124185	122.516515884003
gene_23	18.9304693174164	22.3930630413908	37.7997745023022	49.8977671001368	81.9111445340177	96.5849814521167
gene_24	-4.14388564545231	39.6026815130499	39.9717637145662	8.10459845379685	100.907005414534	94.1296573854584
gene_25	26.8917756036587	35.3400256520026	39.6301568588704	49.1211601278557	83.3810712064783	74.7031991291116
gene_26	-0.0396645480369736	28.3187577611536	43.8983033990164	67.6164138930506	67.4281685765805	98.9678734897334
gene_27	22.9946019492381	-9.99089367951289	17.2986983550151	53.8692992378526	58.3990942162639	105.445933334953
gene_28	32.2256220238903	22.819518655848	38.4672336177107	61.1176360718996	75.2304836610075	123.761082862806
gene_29	0.910976169732482	17.9630941411936	25.7003463223747	37.3070795547066	77.9023011653061	108.53415286424
gene_30	30.3700916681527	31.6180343141905	28.6007386855737	68.3536428422388	61.5904779274591	85.8971332431529
gene_31	-23.8146374891452	-40.8924813608052	-35.1859565726832	-8.88404230350077	-82.9681798511381	-67.8666950117603
gene_32	-36.106787827398	-34.2899083678764	-40.5670255599521	-71.5177447364505	-42.539895132819	-68.9913876861729
gene_33	-47.6574299210195	-74.2665117806964	-81.7931084486434	-16.1717175606732	-46.4289489564534	-54.1517186337408
gene_34	-65.5475428209615	-43.3857613747716	-35.0454391801225	-27.5670103789266	-50.3968415656598	-49.8974992819675
gene_35	-12.0305075518383	-8.88360997594883	-37.9350727260693	-41.1024203858556	-53.9815677311369	-73.4671761346927
gene_36	1.74573933207011	-43.1239197375351	-29.6347825949035	-49.5483937723338	-20.8806053033377	-66.6243880472131
gene_37	-21.2326347546545	-45.6162777342288	-23.2824584071107	-56.9455333648936	-75.8749833715742	-83.7408188058777
gene_38	-13.2552288653697	-48.194943465939	-57.4143432694839	-49.4672534902448	-59.9285971150314	-60.3039448721737
gene_39	-35.2302095047172	1.19834746172103	-67.0668762633684	-52.7195239675724	-66.0304987668395	-66.0839799861915
